Unnamed: 0,Questions,Gold Answers,GPT Answer,Base Model Answers,BERT Similarity GPT,BERT Similarity Baseline,GPT Correctness,Baseline Correctness
42,who was the first signatory of the israeli declaration of independence," As leader of the Yishuv, David Ben - Gurion was the first person to sign. The declaration was due to be signed by all 37 members of Moetzet HaAm. However, twelve members could not attend, eleven of them trapped in besieged Jerusalem and one abroad. The remaining 25 signatories present were called up in alphabetical order to sign, leaving spaces for those absent. Although a space was left for him between the signatures of Eliyahu Dobkin and Meir Vilner, Zerach Warhaftig signed at the top of the next column, leading to speculation that Vilner 's name had been left alone to isolate him, or to stress that even a communist agreed with the declaration. However, Warhaftig later denied this, stating that a space had been left for him (as he was one of the signatories trapped in Jerusalem) where a Hebraicised form of his name would have fitted alphabetically, but he insisted on signing under his actual name so as to honour his father 's memory and so moved down two spaces. He and Vilner would be the last surviving signatories, and remained close for the rest of their lives. Of the signatories, two were women (Golda Meir (Meyerson / Myerson) and Rachel Cohen - Kagan). ","David Ben-Gurion was the first signatory of the Israeli Declaration of Independence on May 14, 1948. He was the leader of the Jewish community in Palestine and went on to become the first Prime Minister of Israel.",,,,,
43,when is last time the astros won the world series," The Astros played in the NL from 1962 to 2012. They played in the West Division from 1969 to 1993, and the Central Division from 1994 to 2012. While a member of the NL, the Astros played in one World Series, in 2005, against the Chicago White Sox, in which they were swept in four games. In 2017, they became the first franchise in MLB history to have won a pennant in both the NL and the AL, when they defeated the New York Yankees in the ALCS. They subsequently won the 2017 World Series against the Los Angeles Dodgers, winning four games to three, earning the team, and Texas, its first World Series title. ","The Houston Astros won the World Series in 2017, beating the Los Angeles Dodgers in seven games.",,,,,
44,when did cable stayed bridges increase in popularity," Cable - stayed bridges have been known since the 16th century and used widely since the 19th. Early examples often combined features from both the cable - stayed and suspension designs, including the famous Brooklyn Bridge. The design fell from favor through the 20th century as larger gaps were bridged using pure suspension designs, and shorter ones using various systems built of reinforced concrete. It once again rose to prominence in the later 20th century when the combination of new materials, larger construction machinery, and the need to replace older bridges all lowered the relative price of these designs. ","Cable-stayed bridges started gaining popularity in the mid-20th century, with the first modern example being the 1950s-built Strömsund Bridge in Sweden. The popularity of cable-stayed bridges continued to increase in the following decades as advancements in engineering and construction techniques made the design more feasible for longer spans and heavier loads. Today, cable-stayed bridges are commonly used for spans ranging from 200 meters up to over 1,000 meters, and are often preferred over other bridge types for their aesthetic appeal and structural efficiency.",,,,,
45,when did the battles of lexington and concord happen," The Battles of Lexington and Concord were the first military engagements of the American Revolutionary War. The battles were fought on April 19, 1775 in Middlesex County, Province of Massachusetts Bay, within the towns of Lexington, Concord, Lincoln, Menotomy (present - day Arlington), and Cambridge. They marked the outbreak of armed conflict between the Kingdom of Great Britain and its thirteen colonies in America. ","The battles of Lexington and Concord happened on April 19, 1775 during the American Revolutionary War.",,,,,
46,ed edd n eddy double d boy or girl," Ed, Edd n Eddy is a Canadian - American animated comedy television series created by Danny Antonucci for Cartoon Network, and the sixth of the network 's Cartoon Cartoons. The series revolves around three preteen boys named Ed, Edd (called "" Double D '' to avoid confusion with Ed), and Eddy -- collectively known as "" the Eds '' -- who live in a suburban cul - de-sac in the fictional town of Peach Creek. Under the unofficial leadership of Eddy, the trio frequently invent schemes to make money from their peers to purchase their favorite confectionery, jawbreakers. Their plans usually fail, leaving them in various, often humiliating, predicaments. ","Double D, also known as Edd, is a male character in the animated television series Ed, Edd n Eddy.",,,,,
47,where does the river irk start and finish," It rises to the east of Royton and runs west past Chadderton, Middleton and Blackley before merging with the River Irwell in Manchester city centre. ",The River Irk is a small river in North West England that flows from the South Pennines to Manchester City Centre. It starts in the hills above Bacup and flows through Rossendale before passing through Bury and then into Manchester. It eventually joins the River Irwell near Manchester Cathedral.,,,,,
48,where is the protien made in the cell," Transcription occurs in the cell nucleus, where the DNA is held. The DNA structure of the cell is made up of two helixes made up of sugar and phosphate held together by hydrogen bonds between the bases of opposite strands. The sugar and the phosphate in each strand are joined together by stronger phosphodiester covalent bonds. The DNA is "" unzipped '' (disruption of hydrogen bonds between different single strands) by the enzyme helicase, leaving the single nucleotide chain open to be copied. RNA polymerase reads the DNA strand from the 3 - prime (3') end to the 5 - prime (5') end, while it synthesizes a single strand of messenger RNA in the 5' - to - 3' direction. The general RNA structure is very similar to the DNA structure, but in RNA the nucleotide uracil takes the place that thymine occupies in DNA. The single strand of mRNA leaves the nucleus through nuclear pores, and migrates into the cytoplasm. ","Proteins are made in the cell through the process of protein synthesis, which occurs in the ribosomes. The process involves the transcription of DNA into messenger RNA (mRNA), which then moves out of the nucleus and into the cytoplasm, where it attaches to a ribosome. The ribosome then reads the sequence of codons on the mRNA and matches each codon to a specific amino acid. As the ribosome reads the codons, it binds the amino acids together in the correct order to form a polypeptide chain, which eventually becomes a functional protein.",,,,,
49,what are the zords in the power rangers movie," On Earth, Ivan 's Ecto - Morphicons are completely unearthed, and he unleashes them on Angel Grove, ordering the parents to commit suicide at the construction site. Fred, Bulk, Skull and the other kids head to the construction site to save their parents. The Rangers return with their new animal - themed Ninja Zords and destroy one of Ivan 's Ecto - Morphicons. Ivan takes control of the other and battles the Rangers himself. The Rangers lead Ivan into space right into the path of Ryan 's Comet, which destroys him. His destruction breaks the hypnosis and the parents are reunited with their children. The Rangers then use the Great Power to restore the Command Center and resurrect Zordon. ","The Zords are mechanical creatures that the Power Rangers use to fight villains. In the Power Rangers movie, the Zords were redesigned versions of the original Zords from the 1990s television series. They include the Tyrannosaurus Zord, Mastodon Zord, Triceratops Zord, Sabertooth Tiger Zord, and Pterodactyl Zord. When combined, they form the Megazord, a powerful robotic warrior that can take down even the most formidable foes.",,,,,
50,actor who plays dr avery on grey's anatomy," Jesse Wesley Williams (born August 5, 1981) is an American actor, director, teacher and activist, best known for his role as Dr. Jackson Avery on the ABC Television series Grey 's Anatomy. He also appeared in the 2013 film The Butler as civil rights leader Rev. James Lawson. His other roles have included Holden in The Cabin in the Woods (2012); Officer Eddie Quinlan in Brooklyn 's Finest (2009); and Leo in The Sisterhood of the Traveling Pants 2 (2008). ",The actor who plays Dr. Avery on Grey's Anatomy is Jesse Williams.,,,,,
51,when did equus first appear in fossil record," The first Old World equid fossil was found in the gypsum quarries in Montmartre, Paris, in the 1820s. The tooth was sent to the Paris Conservatory, where it was identified by Georges Cuvier, who identified it as a browsing equine related to the tapir. His sketch of the entire animal matched later skeletons found at the site. ","Equus, a genus of the family Equidae, first appeared in the fossil record during the Pliocene era, approximately 3.5 million years ago. The earliest known species is thought to be Equus simplicidens, which lived in North America. Over time, different species of Equus evolved and spread to other parts of the world, including Europe, Asia, and Africa. The most well-known species is the modern horse, Equus ferus caballus, which is widely domesticated and used for various purposes such as transportation, sport, and agriculture.",,,,,
52,the rime of the ancient mariner albatross symbolism," It is an allusion to Samuel Taylor Coleridge 's poem The Rime of the Ancient Mariner (1798). In the poem, an albatross starts to follow a ship -- being followed by an albatross was generally considered a sign of good luck. However, the titular mariner shoots the albatross with a crossbow, which is regarded as an act that will curse the ship (which indeed suffers terrible mishaps). Even when they are too thirsty to speak, the ship 's crew let the mariner know through their glances that they blame his action for the curse. The albatross is then literally hung around the mariner 's neck by the crew to symbolize his guilt in killing the bird. Thus, the albatross can be both an omen of good or bad luck, as well as a metaphor for a burden to be carried as penance. ","The albatross in ""The Rime of the Ancient Mariner"" symbolizes nature and the beauty and majesty of creation. It also represents good luck and the favor of the spirits. When the mariner shoots the albatross, he angers the spirits and nature, bringing upon himself a curse that will haunt him and his crewmates throughout their voyage. The dead albatross around his neck becomes a physical reminder of his guilt and the consequences of his actions. Only when he learns to appreciate and respect nature does the curse lift and he finds redemption.",,,,,
53,who played mrs. trumbull on i love lucy," Mary Elizabeth Patterson (November 22, 1874 -- January 31, 1966) was an American theatre, film, and television character actress who gained popular recognition late in her career playing the elderly neighbor Matilda Trumbull on the television comedy series I Love Lucy. ","Elizabeth Patterson played Mrs. Trumbull on ""I Love Lucy"". She appeared in 12 episodes of the show between 1952 and 1956.",,,,,
54,when are organisms considered to belong to the same species," In biology, a species is the basic unit of classification and a taxonomic rank, as well as a unit of biodiversity, but it has proven difficult to find a satisfactory definition. Scientists and conservationists need a species definition which allows them to work, regardless of the theoretical difficulties. If as Linnaeus thought, species were fixed, there would be no problem, but evolutionary processes cause species to change continually, and to grade into one another. A species is often defined as the largest group of organisms in which two individuals can produce fertile offspring, typically by sexual reproduction. While this definition is often adequate, when looked at more closely it is problematic. For example, with hybridisation, in a species complex of hundreds of similar microspecies, or in a ring species, the boundaries between closely related species become unclear. Among organisms that reproduce only asexually, the concept of a reproductive species breaks down, and each clone is potentially a microspecies. Problems also arise when dealing with fossils, since reproduction can not be examined; the concept of the chronospecies is therefore used in palaeontology. Other ways of defining species include their karyotype, DNA sequence, morphology, behaviour or ecological niche. ","Organisms are considered to belong to the same species if they can interbreed and produce viable offspring. The Biological Species Concept defines a species as a group of individuals that can readily interbreed and produce fertile offspring, and are separated from other groups by reproductive isolation. However, this concept may not always be applicable, especially in cases where organisms reproduce asexually or hybridize with other species. Other concepts, such as the Morphological Species Concept and the Phylogenetic Species Concept, may also be used to define species based on physical characteristics and evolutionary relationships.",,,,,
55,when do replays become available on nfl game pass," NFL Game Pass is a subscription based audio and video service which allows users to hear and watch live and archived National Football League (NFL) games via a Internet connection. For users in North America, only out - of - market preseason games can be viewed live; full replays of all the games become available on demand after their original live broadcasts end. Live preseason, regular season, and postseason games are available to international users. ","Replays of NFL games become available on NFL Game Pass shortly after the live broadcast of the game has ended. The exact timing can vary depending on the game and broadcast schedule, but typically replays are available within a few hours of the game's conclusion. This allows subscribers to watch the game on-demand at their convenience, rather than having to watch it live or wait for a repeat broadcast. NFL Game Pass also offers a variety of other features, including condensed game replays, coaches' film, and exclusive in-game highlights and analysis.",,,,,
56,where is the new stadium being built in las vegas," Las Vegas Stadium is the working name for a domed stadium under construction in Paradise, Nevada for the Las Vegas Raiders of the National Football League (NFL) and the UNLV Rebels football team of the University of Nevada, Las Vegas (UNLV). It is located on about 62 acres west of Mandalay Bay at Russell Road and Hacienda Avenue and between Polaris Avenue and Dean Martin Drive, just west of Interstate 15. Construction of the $1.8 billion stadium began in September 2017 and is expected to be completed in time for the 2020 NFL season. ","The new stadium being built in Las Vegas is the Allegiant Stadium, located at 3333 Al Davis Way, Las Vegas, NV 89118, adjacent to the famous Las Vegas Strip. It will be the home of the NFL's Las Vegas Raiders and the University of Nevada, Las Vegas (UNLV) Rebels football team.",,,,,
57,are citizens of us virgin islands us citizens," Persons born in the U.S. Virgin Islands are United States citizens, and as a result do not go through the legal immigration procedures a typical West Indies immigrant would. They are also, due to cultural affinities with the Anglophone Caribbean, U.S. Virgin Islanders in the U.S. are considered part of the Caribbean American immigrant community. ","Yes, citizens of the US Virgin Islands are US citizens. The US Virgin Islands is an unincorporated territory of the United States and its residents are considered US citizens. However, they do not have the right to vote in US presidential elections unless they establish residency in one of the 50 states.",,,,,
58,where is the college championship game being played at," The College Football Playoff selection committee chose the semifinalists following the conclusion of the 2017 regular season. Alabama and Georgia advanced to the national championship after winning the semifinal games hosted by the Sugar Bowl and the Rose Bowl, respectively, on January 1, 2018. The championship game was played at Mercedes - Benz Stadium in Atlanta, Georgia on January 8, 2018. ","The location of the college championship game varies each year, as it is determined by the College Football Playoff committee. The game has been played at various stadiums throughout the country, including Levi's Stadium in California, Mercedes-Benz Superdome in New Orleans, and AT&T Stadium in Texas. The location for the upcoming championship game can be found on the College Football Playoff website.",,,,,
59,who turned out to be the mother on how i met your mother," Tracy McConnell, better known as "" The Mother '', is the title character from the CBS television sitcom How I Met Your Mother. The show, narrated by Future Ted, tells the story of how Ted Mosby met The Mother. Tracy McConnell appears in 8 episodes from "" Lucky Penny '' to "" The Time Travelers '' as an unseen character; she was first seen fully in "" Something New '' and was promoted to a main character in season 9. The Mother is played by Cristin Milioti. ","Tracy McConnell, also known as ""The Mother,"" was revealed to be the long-awaited love interest and eventual wife of Ted Mosby in the series finale of How I Met Your Mother. She was portrayed by actress Cristin Milioti.",,,,,
60,where is hallmark channel home and family filmed," Home and Family is a two - hour daily Hallmark series, recorded one day prior, in Los Angeles, California. Steines said that the decision for that was made to encourage actors to be on the show, without having to wake at 4: 00 a.m. The focus of the show is simply entertainment and tips within a "" wholesome image ''. They refrain from discussions on current events or politics as well as censor themselves in speech, such as the word "" breast '' is not allowed to be used. ","Hallmark Channel's Home and Family show is filmed on a soundstage located on the Universal Studios lot in Universal City, California.",,,,,
61,when did canada get rid of the death penalty," Capital punishment in Canada dates back to Canada 's earliest history, including its period as a French colony and, after 1763, its time as a British colony. From 1867 to the elimination of the death penalty for murder on July 14, 1976, 1,481 people had been sentenced to death, and 710 had been executed. Of those executed, 697 were men and 13 were women. The only method used in Canada for capital punishment of civilians after the end of the French regime was hanging. The last execution in Canada was the double hanging of Arthur Lucas and Ronald Turpin on December 11, 1962, at Toronto 's Don Jail. ","Canada abolished the death penalty on July 14, 1976, and replaced it with a mandatory life sentence without the possibility of parole for 25 years for first-degree murder.",,,,,
62,are all firestone tires made in the usa," In 1918, Firestone Tire and Rubber Company of Canada was incorporated in Hamilton, Ontario and in 1922, the first Canadian - made tire rolled off the line on September 15. During the 1920s, Firestone produced the Oldfield tire, named for racing driver Barney Oldfield. ","While Firestone does have factories in the United States, not all of their tires are made in the USA. Some tires may be made in other countries and imported to the US for distribution. It is always best to check the label on the tire to see where it was manufactured.",,,,,
63,when did the first ninja turtles come out," The Teenage Mutant Ninja Turtles first appeared in an American comic book published by Mirage Studios in 1984 in Dover, New Hampshire. The concept arose from a humorous drawing sketched out by Eastman during a casual evening of brainstorming and bad television with Laird. Using money from a tax refund, together with a loan from Eastman 's uncle, the young artists self - published a single - issue comic intended to parody four of the most popular comics of the early 1980s: Marvel Comics' Daredevil and New Mutants, Dave Sim 's Cerebus, and Frank Miller 's Ronin. The TMNT comic book series has been published in various incarnations by various comic book companies since 1984. ","The first Ninja Turtles comic book was released in May 1984 by creators Kevin Eastman and Peter Laird. The first animated TV series debuted in 1987, followed by the first live-action film in 1990.",,,,,
64,where does the formation of atp take place," The formation of ATP from ADP and P is energetically unfavorable and would normally proceed in the reverse direction. In order to drive this reaction forward, ATPase couples ATP synthesis during cellular respiration to an electrochemical gradient created by the difference in proton (H) concentration across the mitochondrial membrane in eukaryotes or the plasma membrane in bacteria. During photosynthesis in plants, ATP is synthesized by ATPase using a proton gradient created in the thylakoid lumen through the thylakoid membrane and into the chloroplast stroma. ","ATP is primarily formed in the mitochondria of cells through the process of cellular respiration. This process involves the breakdown of glucose and other molecules to release energy, which is used to synthesize ATP through a series of biochemical reactions known as oxidative phosphorylation. However, ATP can also be synthesized through other metabolic pathways such as glycolysis, the Krebs cycle, and photosynthesis.",,,,,
65,what is the snow on mars made of," The planet Mars has two permanent polar ice caps. During a pole 's winter, it lies in continuous darkness, chilling the surface and causing the deposition of 25 -- 30 % of the atmosphere into slabs of CO ice (dry ice). When the poles are again exposed to sunlight, the frozen CO sublimes, creating enormous winds that sweep off the poles as fast as 400 km / h. These seasonal actions transport large amounts of dust and water vapor, giving rise to Earth - like frost and large cirrus clouds. Clouds of water - ice were photographed by the Opportunity rover in 2004. ","The snow on Mars is not made of traditional water ice, but rather frozen carbon dioxide, also known as dry ice. This occurs because Mars has a much colder climate than Earth, where temperatures can drop to -125 degrees Celsius (-193 degrees Fahrenheit) during the Martian winter. As carbon dioxide condenses and freezes, it forms a layer of dry ice snow that covers Mars' poles and other areas.",,,,,
66,who won season 8 of america's next top model," The winner was 20 - year - old Jaslene Gonzalez from Chicago, Illinois, who notably had made it to the semi-finals of cycle 7, but was not cast. Gonzalez became the first winner without any bottom two appearance. ",The winner of Season 8 of America's Next Top Model was Jaslene Gonzalez.,,,,,
67,factories that assemble parts made in other countries," In Mexico, a maquiladora (Spanish pronunciation: (makilaˈðoɾa)) or maquila (IPA: (maˈkila)) is a manufacturing operation, where factories import certain material and equipment on a duty - free and tariff - free basis for assembly, processing, or manufacturing and then export the assembled, processed and / or manufactured products, sometimes back to the raw materials' country of origin. They are an example of special economic zones as seen in many countries. ","Factories that assemble parts made in other countries are a part of the global supply chain network and are often referred to as assembly plants or manufacturing plants. These factories receive components or parts from suppliers in different countries and assemble them into finished products that are then sold to end customers. This type of manufacturing is known as outsourcing and has become increasingly popular in recent years to reduce costs and increase efficiency. However, it has also faced criticism for exploiting low-wage workers and contributing to the loss of jobs in developed countries.",,,,,
68,what us president is the only president to become an eagle scout," Ford was involved in the Boy Scouts of America, and earned that program 's highest rank, Eagle Scout. He is the only Eagle Scout to have ascended to the U.S. Presidency. ",The only US President to become an Eagle Scout was Gerald R. Ford.,,,,,
69,where is arachidonic acid found in the body," Arachidonic acid is a polyunsaturated fatty acid present in the phospholipids (especially phosphatidylethanolamine, phosphatidylcholine, and phosphatidylinositides) of membranes of the body 's cells, and is abundant in the brain, muscles, and liver. Skeletal muscle is an especially active site of arachidonic acid retention, accounting for roughly 10 - 20 % of the phospholipid fatty acid content on average. ","Arachidonic acid is found in cell membranes in the body, particularly in the phospholipids of the plasma membrane. It is also found in the myelin sheath of nerve cells and in other cell membranes throughout the body.",,,,,
70,what is the significance of the sahara desert," The Sahara (Arabic: الصحراء الكبرى, aṣ - ṣaḥrāʼ al - kubrá,' the Great Desert') is the largest hot desert and the third largest desert in the world after Antarctica and the Arctic. Its area of 9,200,000 square kilometres (3,600,000 sq mi) is comparable to the area of China or the United States. The name' Sahara' is derived from dialectal Arabic word for "" desert '', ṣaḥra (صحرا / ˈsʕaħra /). ","The Sahara Desert is significant for its size, covering over 3.6 million square miles across northern Africa, making it the largest hot desert in the world. Its harsh and unforgiving environment has played an important role in shaping the cultures and societies of the region, forcing people to adapt to the extreme conditions. It has also been a strategic location for trade routes throughout history, and has played a major role in the spread of Islam and other religions. Additionally, the Sahara's unique geography and climate have made it an important location for research and scientific exploration, particularly in the areas of climate change and geology.",,,,,
71,what's the difference between peanuts and spanish peanuts," The small Spanish types are grown in South Africa, and in the southwestern and southeastern US. Prior to 1940, 90 % of the peanuts grown in Georgia, USA, were Spanish types, but the trend since then has been larger - seeded, higher - yielding, more disease - resistant cultivars. Spanish peanuts have a higher oil content than other types of peanuts. In the United States, the Spanish group is primarily grown in New Mexico, Oklahoma, and Texas. ","Spanish peanuts are smaller and have reddish-brown skin compared to regular peanuts, which have tan skin. Spanish peanuts also have a higher oil content and are often used for making peanut butter or roasting. Regular peanuts are larger and more commonly used for snacking or in recipes.",,,,,
72,when was i can only imagine the song released," "" I Can Only Imagine '' (sometimes shortened to "" Imagine '') is a single recorded by Christian rock band MercyMe. Written and composed by lead vocalist Bart Millard, the song, based around a main piano track, was inspired by the death of Millard 's father and considers what it would be like in Heaven and to be standing before God. The song was first issued as a track on MercyMe 's 1999 album The Worship Project, which was released on an independent record label. The song was re-recorded and included on their 2001 major - label debut album Almost There as the fifth song on the album. ","""I Can Only Imagine"" is a Christian worship song by the band MercyMe. It was released in 2001 on their album ""Almost There"".",,,,,
73,when is the next deadpool movie being released," Deadpool 2 is scheduled to be released in the United States on May 18, 2018. A sequel, Deadpool 3, is in development. ","As an AI language model, I do not have access to real-time information, so I am unable to provide you with the latest release date for the next Deadpool movie. However, you can always check online or refer to the relevant movie news sources for the latest updates.",,,,,
74,when did the united kingdom entered world war 2," On 1 September 1939, Germany invaded Poland. Two days later, on 3 September, after a British ultimatum to Germany to cease military operations was ignored, Britain and France declared war on Germany. Britain 's declaration of war automatically committed India, the Crown colonies, and the protectorates, but the 1931 Statute of Westminster had granted autonomy to the Dominions so each decided their course separately. ","The United Kingdom entered World War 2 on September 3, 1939, after Germany invaded Poland and Britain's ultimatum for Germany to withdraw was ignored.",,,,,
75,how many episodes are there in dragon ball z," Dragon Ball Z (ドラゴンボール ゼット, Doragon Bōru Zetto, commonly abbreviated as DBZ) is the long - running anime sequel to the Dragon Ball TV series, adapted from the final twenty - six volumes of the Dragon Ball manga written by Akira Toriyama. The manga portion of the series debuted in Weekly Shōnen Jump in October 4, 1988 and lasted until 1995; the anime adaptation premiered in Japan on Fuji Television on April 26, 1989, taking over its predecessor 's time slot, and ran until its end on January 31, 1996, lasting 291 episodes in Japan, and 276 episodes in the United States originally, although all 291 episodes were later broadcast when content from the first 67 episodes was restored. ",There are a total of 291 episodes in the Dragon Ball Z anime series.,,,,,
76,what are the four main types of precipitation," In meteorology, precipitation is any product of the condensation of atmospheric water vapor that falls under gravity. The main forms of precipitation include drizzle, rain, sleet, snow, graupel and hail. Precipitation occurs when a portion of the atmosphere becomes saturated with water vapor, so that the water condenses and "" precipitates ''. Thus, fog and mist are not precipitation but suspensions, because the water vapor does not condense sufficiently to precipitate. Two processes, possibly acting together, can lead to air becoming saturated: cooling the air or adding water vapor to the air. Precipitation forms as smaller droplets coalesce via collision with other rain drops or ice crystals within a cloud. Short, intense periods of rain in scattered locations are called "" showers. '' ","The four main types of precipitation are rain, snow, sleet, and hail.",,,,,
77,which river separates the bronx in new york city from manhattan island," The Bronx (/ brɒŋks /) is the northernmost of the five boroughs of New York City, in the U.S. state of New York. It is south of Westchester County; north and east of Manhattan, across the Harlem River; and north of Queens, across the East River. Since 1914, the borough has had the same boundaries as Bronx County, the third-most densely populated county in the United States. ",The Harlem River separates the Bronx from Manhattan Island in New York City.,,,,,
78,why did the colonists have a problem with the tea act of 1773," The Tea Party was the culmination of a resistance movement throughout British America against the Tea Act, which had been passed by the British Parliament in 1773. Colonists objected to the Tea Act because they believed that it violated their rights as Englishmen to "" No taxation without representation '', that is, to be taxed only by their own elected representatives and not by a British parliament in which they were not represented. In addition, the well - connected East India Company had been granted competitive advantages over colonial tea importers, who resented the move and feared additional infringement on their business. Protesters had successfully prevented the unloading of taxed tea in three other colonies, but in Boston, embattled Royal Governor Thomas Hutchinson refused to allow the tea to be returned to Britain. ","The Tea Act of 1773 was a British law that placed a tax on tea imported to the American colonies by the British East India Company. The colonists saw the tax as a violation of their right to be taxed only by their own elected representatives, as they had no representation in the British Parliament. The colonists also saw it as a way for the British government to use its power to control the colonial economy and to unfairly favor the British East India Company, which had a monopoly over the tea trade. The Tea Act led to the Boston Tea Party, where colonists disguised as Native Americans threw British tea into the harbor in protest. This event was one of the key catalysts for the American Revolution.",,,,,
79,when is the last time the philadelphia won the superbowl," The Philadelphia Eagles are a professional American football franchise based in Philadelphia, Pennsylvania. The Eagles compete in the National Football League (NFL) as a member club of the league 's National Football Conference (NFC) East division. They are Super Bowl champions, having won Super Bowl LII, their fourth NFL title, after winning in 1948, 1949, and 1960. ","The Philadelphia Eagles won the Super Bowl for the first and only time in the franchise's history on February 4, 2018, defeating the New England Patriots 41-33 in Super Bowl LII.",,,,,
80,explain what is meant by plain english and why is it used," Plain English (or layman 's terms) is a style of communication that uses easy to understand, plain language with an emphasis on clarity, brevity, and avoidance of overly complex vocabulary. It is commonly used in relation to official government or business communication. The goal is to write or speak in a way that is easily understood by the target audience. It is clear and straightforward, concise, free of clichés and needless technical jargon, and appropriate to the audience 's developmental or educational level and their familiarity with the topic. ","Plain English refers to using clear and concise language that is easy for the average reader to understand. It is used to avoid confusion or misunderstanding when communicating important information, such as legal, financial or technical documents. The purpose of using plain English is to ensure that the message is conveyed accurately, effectively and efficiently. It is a writing style that aims to make complex information accessible to a wider audience by using simple language, short sentences and avoiding jargon or technical terms.",,,,,
81,where was the movie 500 days of summer filmed," David Ng of the Los Angeles Times describes architecture as a star of the film. Tom is seen reading Alain de Botton 's The Architecture of Happiness. The film was originally set in San Francisco but was later moved to Los Angeles and the script rewritten to make better use of the location. Buildings used include the Los Angeles Music Center (which includes the Dorothy Chandler Pavilion) and the towers of California Plaza. The older Fine Arts Building is featured in the film, in a scene where Tom shows it to Summer and mentions its designers, Walker and Eisen, two of his favorite architects, although he incorrectly gives the partners' names as "" Walker and Eisner. '' ","The majority of the movie 500 Days of Summer was filmed on location in downtown Los Angeles, California.",,,,,
82,who was the great wall of china built to defend against," The history of the Great Wall of China began when fortifications built by various states during the Spring and Autumn (771 -- 476 BC) and Warring States periods (475 -- 221 BC) were connected by the first emperor of China, Qin Shi Huang, to protect his newly founded Qin dynasty (221 -- 206 BC) against incursions by nomads from Inner Asia. The walls were built of rammed earth, constructed using forced labour, and by 212 BC ran from Gansu to the coast of southern Manchuria. ","The Great Wall of China was built during several different dynasties, and its purpose varied depending on the time period and the ruling class. However, one of the main purposes of the wall was to defend against invading nomadic tribes, such as the Mongols and the Manchus.",,,,,
83,what is the tigers name in life of pi," Life of Pi is a Canadian fantasy adventure novel by Yann Martel published in 2001. The protagonist is Piscine Molitor "" Pi '' Patel, an Indian boy from Pondicherry who explores issues of spirituality and practicality from an early age. He survives 227 days after a shipwreck while stranded on a lifeboat in the Pacific Ocean with a Bengal tiger named Richard Parker. ",The tiger's name in Life of Pi is Richard Parker.,,,,,
84,distinctive characteristics of animals classified as vertebrates include," Animals are divided by body plan into vertebrates and invertebrates. Vertebrates -- fishes, amphibians, reptiles, birds, and mammals -- have a vertebral column (spine); invertebrates do not. All vertebrates and most invertebrates are bilaterally symmetrical (Bilateria). Invertebrates include arthropods, molluscs, roundworms, ringed worms, flatworms, and other phyla in Ecdysozoa and Spiralia. Echinoderm larvae are initially bilaterally symmetrical, but later as adults develop radial symmetry; Cnidarians are radially symmetrical; ctenophores are biradially symmetrical; and sponges have no symmetry. ","Distinctive characteristics of animals classified as vertebrates include having a backbone, a head with a brain, a closed circulatory system, and the ability to regulate their body temperature. Vertebrates also have bilateral symmetry, paired appendages, and a well-developed nervous system. They can be further categorized into fish, amphibians, reptiles, birds, and mammals based on specific characteristics such as their method of reproduction and respiratory system.",,,,,
85,when did jack mccoy join law and order," John James McCoy is a fictional character in the television drama Law & Order. He was created by Michael S. Chernuchin and portrayed by Sam Waterston from 1994 until the end of the series in 2010. He is the second - longest tenured character on the show (16 seasons), after Lt. Anita Van Buren (17 seasons; portrayed by S. Epatha Merkerson). He appeared in 368 episodes of Law & Order, four episodes of Law & Order: Special Victims Unit, two episodes of Law & Order: Trial by Jury, two episodes of Homicide: Life on the Street, and the made - for - TV movie Exiled. ","Jack McCoy joined Law and Order in the show's fifth season, which began in 1994. He continued as a series regular until the show ended in 2010.",,,,,
86,when did the nba add the three point line," In the 1979 -- 80 season, after having tested it in the previous pre-season, the NBA adopted the three - point line despite the view of many that it was a gimmick. Chris Ford of the Boston Celtics is widely credited with making the first three - point shot in NBA history on October 12, 1979. Kevin Grevey of the Washington Bullets also made one on the same day. ",The NBA added the three-point line in the 1979-80 season.,,,,,
87,dendrites and cell bodies are components of what type of matter found in the brain," Grey matter (or gray matter) is a major component of the central nervous system, consisting of neuronal cell bodies, neuropil (dendrites and myelinated as well as unmyelinated axons), glial cells (astrocytes and oligodendrocytes), synapses, and capillaries. Grey matter is distinguished from white matter, in that it contains numerous cell bodies and relatively few myelinated axons, while white matter contains relatively few cell bodies and is composed chiefly of long - range myelinated axon tracts. The colour difference arises mainly from the whiteness of myelin. In living tissue, grey matter actually has a very light grey colour with yellowish or pinkish hues, which come from capillary blood vessels and neuronal cell bodies. ","Dendrites and cell bodies are components of gray matter found in the brain. Gray matter is made up of neuronal cell bodies, dendrites, and unmyelinated axons, and is primarily responsible for information processing and computation within the brain. White matter, on the other hand, is composed of myelinated axons and is responsible for transmitting information between different regions of the brain.",,,,,
